5.275,4.893,black
5.895,4.843,black
5.337,5.165,black
4.187,5.664,black
4.788,5.496,black
5.075,5.229,black
5.57,6.004,black
5.509,4.815,black
5.268,4.846,black
5.656,5.195,black
5.657,5.809,black
4.874,5.452,black
5.436,5.806,black
5.133,5.026,black
4.886,5.495,black
4.63,5.08,black
5.1,4.752,black
5.697,4.903,black
4.631,5.321,black
5.057,4.862,black
4.747,5.226,black
4.696,5.257,black
4.776,5.266,black
5.026,5.602,black
5.217,4.867,black
5.391,5.244,black
5.569,5.303,black
4.809,5.561,black
5.327,4.638,black
5.303,4.869,black
4.926,5.176,black
5.563,4.896,black
4.829,4.995,black
4.77,5.202,black
4.88,4.922,black
4.941,5.8,black
4.597,5.106,black
4.94,5.319,black
5.39,4.716,black
5.066,5.162,black
4.583,5.275,black
4.672,5.038,black
5.27,5.597,black
5.296,5.221,black
5.593,5.661,black
5.206,5.383,black
4.827,5.033,black
4.981,5.307,black
6.013,5.096,black
5.409,4.841,black
5.427,4.717,black
5.471,4.748,black
4.875,5.103,black
5.433,5.33,black
5.474,5.464,black
5.272,4.954,black
4.984,5.417,black
5.288,4.782,black
5.068,5.474,black
5.476,5.492,black
4.668,5.422,black
4.871,5.186,black
4.317,5.262,black
5.538,5.058,black
5.631,4.427,black
5.733,4.403,black
5.4,5.264,black
5.299,5.611,black
6.149,4.746,black
5.101,4.838,black
5.339,4.476,orange
4.887,4.234,orange
4.429,4.915,orange
4.879,4.734,orange
5.045,4.578,orange
4.824,4.729,orange
4.504,4.285,orange
4.564,4.665,orange
4.848,4.87,orange
5.098,4.229,orange
4.838,4.898,orange
4.578,5.025,orange
4.894,4.799,orange
5.515,4.189,orange
4.228,5.277,orange
4.617,4.866,orange
4.451,4.679,orange
4.675,4.471,orange
5.196,4.65,orange
4.508,5.024,orange
3.957,5.346,orange
4.946,4.081,orange
4.664,4.792,orange
4.468,5.027,orange
4.264,4.189,orange
4.488,4.877,orange
4.912,4.679,orange
4.733,4.691,orange
5.075,4.574,orange
4.115,5.301,orange
